Time,RSteps,X,Y,Z
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
120,0,308,4399,85,232,26
